Время();Напряжение I/O-1(В)
0;-1,593
1;-1,739
2;-1,58
3;-1,176
4;-0,613
5;0,012
6;0,588
7;0,98
8;1,152
9;1,078
10;0,772
11;0,319
12;-0,221
13;-0,711
14;-1,09
15;-1,274
16;-1,25
17;-1,004
18;-0,637
19;-0,196
20;0,245
21;0,576
22;0,76
23;0,76
24;0,588
25;0,294
26;-0,098
27;-0,465
28;-0,772
29;-0,943
30;-0,956
31;-0,833
32;-0,576
33;-0,257
34;0,061
35;0,319
36;0,49
37;0,515
38;0,416
39;0,196
40;-0,073
41;-0,367
42;-0,588
43;-0,723
44;-0,735
45;-0,662
46;-0,478
47;-0,245
48;-0,012
49;0,184
50;0,306
51;0,331
52;0,257
53;0,11
54;-0,086
55;-0,294
56;-0,465
57;-0,564
58;-0,588
59;-0,527
60;-0,404
61;-0,233
62;-0,049
63;0,098
64;0,171
65;0,196
66;0,147
67;0,037
68;-0,11
69;-0,257
70;-0,38
71;-0,465
72;-0,502
73;-0,441
74;-0,343
75;-0,208
76;-0,086
77;0,025
78;0,086
79;0,098
80;0,049
81;-0,025
82;-0,135
83;-0,245
84;-0,343
85;-0,392
86;-0,392
87;-0,355
88;-0,282
89;-0,184
90;-0,098
91;-0,012
92;0,037
93;0,025
94;0
95;-0,073
96;-0,147
97;-0,245
98;-0,294
99;-0,343
100;-0,343
101;-0,294
102;-0,245
103;-0,171
104;-0,098
105;-0,049
106;-0,012
107;-0,025
108;-0,049
109;-0,098
110;-0,171
111;-0,221
112;-0,27
113;-0,294
114;-0,294
115;-0,27
116;-0,221
117;-0,159
118;-0,098
119;-0,073
120;-0,049
121;-0,061
122;-0,086
123;-0,123
124;-0,184
125;-0,221
126;-0,245
127;-0,27
128;-0,245
129;-0,221
130;-0,196
131;-0,147
132;-0,11
133;-0,086
134;-0,073
135;-0,086
136;-0,11
137;-0,147
138;-0,184
139;-0,221
140;-0,233
141;-0,245
142;-0,233
143;-0,208
144;-0,171
145;-0,147
146;-0,123
147;-0,098
148;-0,098
149;-0,11
150;-0,135
151;-0,159
152;-0,184
153;-0,208
154;-0,221
155;-0,221
156;-0,208
157;-0,196
158;-0,171
159;-0,147
160;-0,123
161;-0,123
162;-0,123
163;-0,123
164;-0,147
165;-0,171
166;-0,184
167;-0,196
168;-0,208
169;-0,196
170;-0,196
171;-0,171
172;-0,159
173;-0,147
174;-0,135
175;-0,123
176;-0,135
177;-0,147
178;-0,147
179;-0,171
180;-0,184
181;-0,196
182;-0,196
183;-0,196
184;-0,184
185;-0,171
186;-0,147
187;-0,147
188;-0,135
189;-0,135
190;-0,147
191;-0,147
192;-0,159
193;-0,171
194;-0,184
195;-0,184
196;-0,196
197;-0,196
198;-0,171
199;-0,171
